original,simplified
Für die 19. Legislaturperiode ist Jürgen Dusel von der Bundesregierung als Beauftragter der Bundesregierung für die Belange von Menschen mit Behinderungen bestellt worden.,Der Behinderten-Beauftragte von der Bundes-Regierung ist Jürgen Dusel. Er ist Behinderten-Beauftragter seit Mai 2018.
Der Jurist war zuvor Beauftragter der Landesregierung für die Belange der Menschen mit Behinderungen in Brandenburg.,Herr Dusel ist Jurist. Das bedeutet: er hat Jura studiert.
Seine Amtszeit steht unter dem Motto „Demokratie braucht Inklusion“.,Herr Dusel hat ein Motto. „Demokratie braucht Inklusion“.
"geboren am 14.2.1965 in Würzburg, verheiratet, zwei erwachsene Kinder Schwerbehindert mit einem Grad der Behinderung ( GdB ) von 100 (von Geburt an stark sehbehindert) Ausbildung und beruflicher Werdegang 1985 Abitur 1992",Herr Dusel ist am 14.2.1965 in Würzburg geboren. Er ist verheiratet und hat zwei erwachsene Kinder. Herr Dusel ist auch ein Mensch mit Behinderung. Sein Grad der Behinderung ( GdB ) ist 100. Herr Dusel ist von Geburt an stark seh-behindert. Ausbildung und Beruf 1985: Abitur 1992:
Erstes juristisches Staatsexamen an der Universität Heidelberg 1995 Zweites juristisches Staatsexamen beim Oberlandesgericht Stuttgart 1996,1. juristisches Staats-Examen an der Universität Heidelberg 1995: 2. juristisches Staats-Examen an dem Oberlandes-Gericht Stuttgart 1996:
Jurist bei der Hauptfürsorgestelle des Landes Mecklenburg-Vorpommern 1998,Jurist bei der Haupt-Fürsorgestelle von dem Bundes-Land Mecklenburg-Vorpommern 1998:
Dezernatsleiter Heimaufsicht / überörtliche Betreuungsbehörde beim Landesamt für Soziales und Versorgung des Landes Brandenburg ( LASV ) 2002,Leiter von dem Dezernat Heimaufsicht/überörtliche Betreuungs-Behörde beim Landesamt für Soziales und Versorgung von dem Bundes-Land Brandenburg (LASV) 2002:
"Leiter des Integrationsamtes im Landesamt für Soziales und Versorgung des Landes Brandenburg 2007 stellvertretender Leiter der Abteilung 3 (Aufsicht, Soziales und Forensische Psychiatrie, Integrationsamt) im Landesamt für Soziales und Versorgung des Landes Brandenburg, weiterhin Leiter des Integrationsamtes des Landes Brandenburg","Leiter von dem Integrations-Amt im Landes-Amt für Soziales und Versorgung von dem Bundes-Land Brandenburg 2007: Stellvertretender Leiter der Abteilung 3 (Aufsicht, Soziales und Forensische Psychiatrie, Integrationsamt) im Landes-Amt für Soziales und Versorgung von dem Bundes-Land Brandenburg."
Leiter des Dezernates Aufsicht und Unterbringung nach dem Brandenburgischen Psychisch-Kranken-Gesetz ( BbgPsychKG ),Leiter von dem Dezernat Aufsicht und Unterbringung nach dem Brandenburgischen Psychisch-Kranken-Gesetz (BbgPsychKG)
Beauftragter der Landesregierung für die Belange behinderter Menschen in Brandenburg 2015 erneute Berufung zum Beauftragten der Landesregierung Brandenburg für die Belange der Menschen mit Behinderungen,Brandenburg ist ein Bundes-Land in Deutschland. Beauftragter der Landes-Regierung für die Belange behinderter Menschen in Brandenburg 2018:
2018 Berufung zum Beauftragten der Bundesregierung für die Belange von Menschen mit Behinderungen,Beauftragter der Bundes-Regierung für die Belange von Menschen mit Behinderungen
