original,simplified
Tausende Oberlausitzer unterzeichnen Petitionen gegen Corona-Proteste.,In der Oberlausitz machen die Menschen einige Sachen gegen die Demonstrationen.
"Die Polizei stellt sich auf eine wachsende Zahl von Kritikern der Corona-Maßnahmen ein, die am Montagabend in der Oberlausitz auf die Straßen gehen.",Einige Menschen finden die Corona-Regeln nicht gut. Und sie wollen sich nicht daran halten. Deshalb demonstrieren die Menschen dagegen.
"Er rät den Protestteilnehmern, sich von Extremisten und Gewalt zu distanzieren: ""Machen Sie keine gemeinsame Sache mit Personen, die Ihre Versammlung möglicherweise für sich und andere Ziele missbrauchen wollen.",Bei den Demonstrationen machen auch viele rechts-extreme Menschen mit. Und immer mehr Menschen machen dabei Straftaten .
Die Bürgermeisterin von Ebersbach-Neugersdorf will solche Protestzeichen nicht länger hinnehmen.,In der Stadt Ebersbach-Neugersdorf gibt es jetzt ein Schild am Rathaus Auch in der Stadt Ebersbach-Neugersdorf machen sich die Menschen gegen die Demonstrationen stark.
Deshalb hat sie am Freitag ein Schild an der Rathaustür anbringen lassen.,Zum Beispiel: Die Bürger-Meisterin hat ein Schild an das Rathaus gehängt.
"""Hier zünden wir die Kerzen an"", steht in großen grünen Buchstaben darauf.",Auf dem Schild steht: Viele Menschen sind schon wegen dem Corona-Virus gestorben. Und die Mitarbeiter in den Krankenhäusern haben sehr viel Arbeit.
"Das Schild wirbt um Wertschätzung für alle, die im Gesundheitswesen arbeiten und erinnert an die Menschen, die im Zusammenhang mit einer Corona-Infektion gestorben sind.",Deshalb ist es wichtig: Dass die Menschen auf-einander achten. Und dass sie viel Wertschätzung für andere Menschen haben. Zum Beispiel: Für die Mitarbeiter in den Krankenhäusern.
In beiden Städten haben sich in den vergangenen Tagen Bürgerbündnisse gebildet.,In der Stadt Bautzen gibt es jetzt eine Bürger-Initiative . Das ist eine Gruppe von Menschen.
"Darin heißt es: ""Wir wollen es nicht weiter hinnehmen, dass die Protestler die Krise durch Egoismus befeuern.",Die Menschen aus Bautzen machen sich gemeinsam gegen die Demonstrationen stark. Und sie finden es wichtig: Dass die Menschen die Corona-Regeln be-achten.
"Das wolle das Bündnis ""Bautzen gemeinsam"" deutlich machen.",Sie heißt: Bautzen gemeinsam.
"Neben ihm gehören 80 Bautzener Bürgerinnen und Bürger zu den Erstunterzeichnern - darunter Ärzte, Unternehmer, Pfarrer, Vereins- und Verbandsvorsitzende und die Bautzener Band Silbermond.",Viele Menschen haben die Petition schon unterschrieben. Zum Beispiel die Band Silbermond.
Ein ähnlich lautender Brief aus Zittau hat bereits mehr als 1.300 Unterstützerinnen und Unterstützer.,"Menschen aus Zittau haben einen offenen Brief geschrieben In der Stadt Zittau haben die Menschen einen offenen Brief gegen die Demonstrationen geschrieben. Darin haben sie auch Forderungen auf-geschrieben. Zum Beispiel: Die Polizei soll mehr gegen die Demonstrationen machen. Die Menschen können den offenen Brief unterschreiben. Das haben auch schon mehr als 1 tausend Menschen gemacht. Dann sehen die Politiker : Viele Menschen finden es wichtig, was in dem Brief steht."
