original,simplified
Vom ersten Kontakt bis zum letzten Schreiben: Gesetzliche Regeln sorgen für einen fairen Umgang zwischen Arbeitgeber*innen und Arbeitnehmer*innen.,Für Beschäftigte und Arbeitgeber gibt es Regeln.
Bewerbung,Was sind die Regeln bei Bewerbungen?
In einer Stellenanzeige müssen Unternehmen diskriminierungsfrei zum Beispiel geschlechtsneutral suchen – also nicht ausdrücklich nach einer „Sekretärin“ oder einem „Mechatroniker“.,"Stellen-Anzeigen müssen so geschrieben sein, dass niemand benachteiligt wird. Zum Beispiel darf der Arbeitgeber nicht nur Frauen oder nur Männer suchen."
"Im Auswahlgespräch sind eine Menge Fragen verboten , die zu persönlich oder diskriminierend sein können – je nach den Umständen des Einzelfalls etwa nach einer Schwangerschaft, nach einer Partei- oder Gewerkschaftszugehörigkeit oder nach dem Kontostand.",Der Arbeitgeber darf die Bewerber und Bewerberinnen bestimmte Sachen nicht fragen. Zum Beispiel: ob eine Bewerberin bald schwanger werden möchte wie viel Geld der Bewerber oder die Bewerberin hat
"Arbeitgeber*innen müssen grundsätzlich darauf hinweisen, wenn die Arbeit besonders schwer oder gefährlich ist.","Der Arbeitgeber muss den Bewerbern und Bewerberinnen sagen, wenn die Arbeit schwer oder gefährlich ist."
Arbeitsvertrag,Was sind die Regeln zum Arbeits-Vertrag?
"Ein Arbeits­vertrag muss zwar nicht schriftlich abgeschlossen werden, das wird aber empfohlen.",Ein schriftlicher Arbeits-Vertrag ist am besten. Aber es muss keinen schriftlichen Arbeits-Vertrag geben.
"Gibt es keinen schriftlichen Arbeits­vertrag, müssen spätestens einen Monat nach Arbeits­beginn die wesentlichen Arbeits­bedingungen auf­geschrieben, unter­schrieben und den Arbeit­nehmer*innen ausgehändigt werden.","Wenn es keinen schriftlichen Arbeits-Vertrag gibt, muss es 1 Monat nach Arbeits-Beginn ein Schreiben vom Arbeitgeber und dem Beschäftigten geben."
"Wann geht es los, wo arbeiten die Arbeit­nehmer*innen, was sind ihre Tätigkeiten, wie ist ihre Arbeits­zeit geregelt.",In dem Schreiben muss zum Beispiel stehen: wann die Arbeit los geht. wo der Beschäftigte oder die Beschäftigte arbeitet. was die Aufgaben bei der Arbeit sind.
Und natürlich: Wie hoch ist das Arbeitsentgelt und wie setzt es sich zusammen.,wie viel Geld und Urlaub der Beschäftigte oder die Beschäftigte bekommt.
Befristung,Wann darf die Arbeit befristet sein?
"Das bedeutet, dass die Stelle nach dem vereinbarten Zeitraum ausläuft.",Befristet heißt: Die Arbeit endet an einem bestimmten Tag.
Bei Neueinstellungen ist das als erleichterte Befristung erlaubt - für maximal zwei Jahre.,Bei Neu-Einstellungen darf die Befristung 2 Jahre dauern.
"Auch junge Firmen, sogenannte Start-ups, dürfen in den ihren ersten vier Jahren die Verträge ihrer Arbeitnehmer*innen befristen.",Neue Firmen dürfen am Anfang Arbeits-Verträge befristen.
"Zum Beispiel im Anschluss an eine Ausbildung, in einem zeitlich abgegrenzten Projekt oder als Vertretung dürfen Unternehmen zeitlich begrenzt beschäftigen.",Nach einer Ausbildung darf die Arbeit befristet sein. Wenn der neue Beschäftigte einen anderen Beschäftigten vertritt . Zum Beispiel bei der Eltern-Zeit.
Kündigungsschutz,Wann darf ein Unternehmen Beschäftigten kündigen?
Einfach rauswerfen geht nicht:,Der Arbeitgeber muss gute Gründe für eine Kündigung haben.
"So kann etwa eine betriebsbedingte Kündigung gerechtfertigt sein, wenn das gesamte Unternehmen oder die Abteilung keine Aufträge mehr hat – und es auch sonst im Betrieb keine passende Beschäftigung mehr gibt.","Er darf Beschäftigten kündigen, wenn: das Unternehmen keine Aufträge mehr hat und es keine andere Aufgabe für die Beschäftigten mehr gibt."
Eine fristlose Kündigung kann bei groben Verstößen möglich sein:,der Beschäftigte oder die Beschäftigte etwas Schlimmes getan hat.
"Dazu zählen etwa üble Beleidigungen, Gewalt, sexuelle Belästigung oder beharrliche Arbeitsverweigerung.",Zum Beispiel gewalt-tätig war oder die Arbeit verweigert hat.
"Auszubildende haben einen besonderen Kündigungsschutz – ebenso wie Schwangere, Mütter bis vier Monate nach der Entbindung, Menschen mit einer Schwerbehinderung, freiwillig Wehrdienstleistende und Arbeitnehmer*innen in Eltern- oder Pflegezeit.",Die Regeln für eine Kündigung sind bei folgenden Personen besonders streng: Auszubildende Schwangere Menschen mit einer Schwer-Behinderung Beschäftigte in Eltern-Zeit oder Pflege-Zeit
Das Bundesministerium für Arbeit und Soziales hat einen Telefonservice.,Dann hilft dir der Telefon-Dienst vom Ministerium für Arbeit und Soziales.
Montags bis donnerstags helfen Expert*innen von 8:00 bis 20:00 Uhr bei individuellen Problemen weiter: 030 221 911 004,Das ist die Telefon-Nummer: 030 221 911 004
