original,simplified
"Als ""Influenza"" oder ""echte Grippe"" bezeichnet man eine Erkrankung durch das Influenza-Virus.",Die Grippe ist eine ansteckende Krankheit. Das Fachwort für Grippe ist: Influenza. Eine Grippe entsteht durch Viren.
"Wichtig ist es, die echte Grippe vom grippalen Infekt zu unterscheiden.",Eine Grippe ist kein grippaler Infekt.
"Es gibt eine Reihe von Faktoren, die eine Erkrankung an Grippe und vor allem Komplikationen begünstigen.",Manche Personen bekommen schneller eine Grippe als andere.
So zum Beispiel: Schwangerschaft Diabetes und andere Stoffwechselkrankheiten,Deshalb können sie schneller an Grippe erkranken: Schwangere Babys Personen mit Diabetes oder anderen Stoffwechselkrankheiten. Zu Diabetes sagt man auch Zuckerkrankheit.
Tumorerkrankungen,Personen mit Tumor-Erkrankung
"Alter von über 65 Jahren, hier reagiert das Immunsystem nicht mehr so gut auf neue Erreger Alter von weniger als einem Jahr, hier ist das Immunsystem noch unreif und reagiert nicht so effektiv Chronische Lungenerkrankungen wie Asthma , Lungenemphysem , chronische Bronchitis , Mukoviszidose Chronische Herzkrankheiten HIV-Infektion Unterdrückung des Immunsystems im Zuge einer medizinischen Behandlung Unterernährung oder starkes Übergewicht",Diese Personen haben nämlich häufig ein schwächeres Immunsystem. Personen mit Lungen-Erkrankung Personen mit HIV-Erkrankung Personen mit Herz-Erkrankung Personen mit Unterernährung. Personen über 65 Jahren
Die Symptome treten hier meist plötzlich und schon ein bis zwei Tage nach der Ansteckung auf.,Die Anzeichen einer Grippe sind sehr plötzlich .
Fieber bis zu 40 Grad Halsschmerzen trockener Husten tränende Augen,Gliederschmerzen hohes Fieber
"eine rinnende Nase Übelkeit Kopf- und Gliederschmerzen Treten keine Komplikationen auf, ist die Infektion üblicherweise nach einer Dauer von wenigen Tagen bis einer Woche überstanden.",Eine Grippe dauert etwa eine Woche. Danach geht es Ihnen langsam wieder besser.
Aber die Grippe macht uns auch anfälliger gegenüber Bakterien.,Aber eine Grippe schwächt den Körper.
"Bei diesen bakteriellen Erkrankungen kann es sich unter anderem um Lungen- , Ohren- oder Herzmuskelentzündungen handeln.",Deshalb können weitere Erkrankungen hinzukommen wie zum Beispiel: Lungen-Entzündung und schwerer Husten Ohren-Entzündung und Ohrenschmerzen Herzmuskel-Entzündung mit Atemnot Diese Folge-Erkrankungen können die Grippe gefährlich machen.
Glieder- und Kopfschmerzen lassen sich mit Schmerzmitteln lindern.,Sie haben starke Schmerzen? Dann können Medikamente helfen.
"Wer fiebert und schwitzt sollte außerdem darauf achten, die verlorene Flüssigkeitsmenge durch ausreichendes Trinken wieder aufzunehmen.",Bei Grippe helfen vor allem: viel Ruhe viel trinken Achtung: Manche Menschen mit Herzkrankheiten oder Nierenkrankheiten dürfen nur eine bestimmte Menge trinken.
Zur gezielten Behandlung der Grippe stehen antivirale – also gegen Viren wirkende – Stoffe zur Verfügung:,Vielleicht verschreibt er Ihnen spezielle Medikamente gegen die Grippe.
Es existieren wirksame Impfstoffe gegen die Grippe.,Gegen Grippe gibt es auch eine Impfung.
"Deshalb und weil die Wirksamkeit der Impfung nicht lange anhält, ist jährlich eine neue Impfung notwendig.",Das Influenza-Virus verändert sich dauernd. Deshalb muss eine Impfung gegen Grippe jedes Jahr erfolgen.
Die ständige Impfkommission (STIKO) empfiehlt eine Impfung gegen Influenza allen Menschen ab 60 Jahren sowie bestimmten Risikogruppen.,Manche Menschen sollten sich auf jeden Fall gegen Grippe impfen lassen: Menschen ab 60 Jahre Diabetiker.
"Dazu zählen unter anderem Menschen mit Abwehrschwäche, Diabetes oder chronischen Leber-, Nieren-, Herz- oder Atemwegskrankheiten wie Asthma oder COPD.",Das sind Menschen mit der Zuckerkrankheit. Personen mit Immunschwäche Personen mit chronischer Lebererkrankung Personen mit chronischer Nierenerkrankung Personen mit Herzkrankheiten Personen mit Atemwegserkrankungen wie zum Beispiel Asthma
