original,simplified
"Wenn Sie bei Ihrer Eheschließung noch keinen gemeinsamen Familiennamen bestimmt haben, können Sie dies jederzeit nachholen.","Wenn Sie heiraten, können Sie sich aussuchen: Ob Sie beide Ihre eigenen Nachnamen behalten wollen. Oder ob Sie denselben Nachnamen haben wollen. Also einer von Ihnen den Nachnamen vom anderen Ehe-Partner annimmt. Das können Sie auch später noch tun."
Benötigt werden Personalausweis oder Reisepass,"Was brauche ich, um meinen Ehe-Namen zu bestimmen? Sie brauchen dazu: Ihren Personal-Ausweis oder Reise-Pass eine beglaubigte Kopie von Ihrem Ehe-Register Beglaubigt heißt:"
Beglaubigte Ablichtung des Eheregisters,Ein Amt bestätigt: Die Urkunde oder ein anderes Papier ist richtig und echt.
"Ist Ihre Ehe im Ausland geschlossen worden oder einer von Ihnen nicht im Besitz der deutschen Staatsangehörigkeit, dann setzen Sie sich bitte zwecks weiterer Beratung mit uns in Verbindung.","Wenn Sie oder Ihre Ehe-Partnerin oder Ihr Ehe-Partner nicht Deutsche oder Deutscher sind, kommen Sie zu uns. Wir sagen Ihnen dann, wie Sie eine Kopie aus dem Ehe-Register bekommen. Und auch, was Sie tun müssen, um Ihren Ehe-Namen zu bestimmen."
"Wenn Sie in Deutschland geheiratet haben, wird das Eheregister bei dem Standesamt geführt und aufbewahrt, wo Sie geheiratet haben.","Wenn Sie in Deutschland geheiratet haben, bekommen Sie die Kopie aus dem Ehe-Register in der Stadt, wo Sie geheiratet haben."
"Haben Sie für Ihre im Ausland geschlossene Ehe vor dem 24. Februar 2007 ein Familienbuch auf Antrag anlegen lassen, erhalten Sie die Ablichtung aus dem Eheregister bei dem Standesamt, wo Sie zu diesem Zeitpunkt gemeinsam gewohnt haben.","Haben Sie im Ausland geheiratet und haben wir vor dem 24. Februar 2007 ein Familien-Buch für Sie angelegt? Dann bekommen Sie die Kopie aus dem Ehe-Register beim Standes-Amt der Stadt, wo Sie früher mit Ihrem Ehe-Partner wohnten."
"Ist die Nachbeurkundung Ihrer Eheschließung nach dem 24. Februar 2007 erfolgt, wird das Eheregister bei dem Standesamt geführt, das die Nachbeurkundung vorgenommen hat.","Haben wir das Familien-Buch nach dem 24. Februar 2007 für Sie angelegt, dann bekommen Sie die Kopie aus dem Ehe-Register bei uns."
Eine gemeinsame persönliche Vorsprache ist erforderlich.,Sie und Ihre Ehe-Partnerin oder Ihr Ehe-Partner kommen dafür zu uns ins Standes-Amt .
Gebühren,Was kostet das Bestimmen von meinem Ehe-Namen?
Für die Namenserklärung wird eine Gebühr von 21 Euro erhoben.,21 Euro kostet die Erklärung zum Ehe-Namen.
Eine Bescheinigung über die neue Namensführung kostet 9 Euro.,9 Euro kostet eine Bescheinigung darüber.
Die Gebühren können bar oder mit der EC -Karte und PIN -Nummer bezahlt werden.,Sie können dies mit Bargeld bezahlen. Das heißt: Sie können mit Geld-Scheinen und Münzen bezahlen. Oder: Sie können auch mit Ihrer EC -Karte bezahlen. Eine EC -Karte ist eine Karte aus Plastik. Diese Karte haben Sie bei der Bank für Ihr Konto bekommen.
