original,simplified
"Bei brennenden Personen: Wenn möglich Brand mit Wasser oder Feuerlöscher löschen, alternativ kann eine Branddecke über die Person geworfen werden.",Eine Person brennt? Dann löschen Sie zuerst den Brand. Werfen Sie zum Beispiel eine Branddecke über die brennende Person. Oder löschen Sie den Brand mit Wasser.
Entfernung von Kleidung und Schmuck in der betroffenen Region (Hitzespeicher entfernen).,Entfernen Sie dann die Kleidung und den Schmuck von der Person. Die Kleidung und der Schmuck sind nämlich noch lange heiß.
"Ist Kleidung mit der Haut verbacken, wird sie dort belassen und der Bereich umschnitten.",Achtung: Sie können die Kleidung nicht entfernen?
Auf keinen Fall Kleidung abreißen!,Dann reißen Sie die Kleidung auf keinen Fall von der Haut ab.
"Bei kleinflächigen Verbrennungen: Klagt der Patient über Schmerzen, betroffene Region vorsichtig mit Leitungswasser (circa 20 Grad Celsius) für maximal fünf Minuten kühlen.",Es ist nur eine kleine Fläche verbrannt? Dann kühlen Sie die betroffene Stelle vorsichtig mit lauwarmem Leitungswasser. Kühlen Sie die betroffene Stelle nicht länger als fünf Minuten. Sie kühlen die Verbrennung länger als fünf Minuten? Dann kann die verletzte Person eine Unterkühlung bekommen.
Vorbeugen:,Sie möchten eine Verbrennung vermeiden? Dann achten Sie auf folgende Dinge:
Beim Grillen keine Brandbeschleuniger verwenden!,Benutzen Sie beim Grillen keine Brandbeschleuniger.
Besonnen mit Feuer umgehen!,Gehen Sie vorsichtig mit Feuer um.
Kinder an offenem Feuer immer beaufsichtigen.,Dann sollten Sie zusätzlich auf diese Dinge achten: Lassen Sie Ihr Kind an einem Feuer nicht unbeaufsichtigt.
Kein kochendes Wasser in Wärmflaschen füllen!,Füllen Sie kein kochendes Wasser in Wärmflaschen. Heißes Wasser reicht aus.
Wasserkocher und deren Kabel immer außer Reichweite von Kindern stellen.,Stellen Sie den Wasserkocher weit entfernt von Kindern auf. Kinder dürfen auch das Kabel des Wasserkochers nicht erreichen.
"Heiße Getränke außer Reichweite von Kindern abstellen, Tischdecken vermeiden, sie verleiten dazu, daran zu ziehen.",Sie heiße Getränke nicht in die Nähe von Kindern. Vermeiden Sie Tischdecken. Die Kinder können nämlich daran ziehen.
Bügeleisen und dessen Kabel außer Reichweite von Kindern halten beziehungsweise nicht ohne Beaufsichtigung von Erwachsenen stehen lassen.,Sie Bügeleisen nicht in die Nähe von Kindern. Kinder dürfen auch das Kabel des Bügeleisens nicht erreichen.
