original,simplified
"Die Zulassungsbehörde teilt dem Fahrzeug ein Kennzeichen zu, wobei Sie die Möglichkeit haben, eigene Wünsche zum Kennzeichen zu äußern.","Jedes Fahrzeug in Deutschland muss ein Kenn-Zeichen haben, damit es auf der Straße fahren darf. Ein Kenn-Zeichen ist ein Schild mit Zahlen und Buchstaben . Die Zulassungs-Stelle teilt Ihrem Fahrzeug das Kenn-Zeichen zu. Sie können sich dabei auch Buchstaben und Zahlen wünschen. Das schwere Wort dafür ist: Wunsch-Kenn-Zeichen ."
"Bitte beachten Sie, dass kein Rechtsanspruch auf die Zuteilung eines bestimmten Kennzeichens besteht.",Bitte beachten Sie: Wir versuchen Ihre Wünsche beim Kenn-Zeichen zu beachten. Aber wir können nicht alle Wünsche erfüllen. Sie haben keinen Anspruch auf ein bestimmtes Kenn-Zeichen.
Für Ihr Wunschkennzeichen nutzen Sie bitte das online-Angebot.,Sie können Ihr Wunsch-Kenn-Zeichen online aussuchen. Online heißt: Sie können am Computer ein Kenn-Zeichen aussuchen.
Ihr online reserviertes Kennzeichen ist 90 Tage für Sie reserviert.,Wir reservieren dann Ihr Wunsch-Kenn-Zeichen für 180 Tage .
Mit der Reservierungs-Bestätigung können Sie die neuen Nummernschilder vorab kaufen und diese für die Fahrt zur Kfz-Zulassungsstelle nutzen.,"3. Wenn Sie Ihr Kenn-Zeichen bei uns reserviert haben, dann können Sie sich ein Schild für Ihr Kenn-Zeichen kaufen. Das Schild können Sie nicht bei uns kaufen. Das Schild für das Kenn-Zeichen bekommen Sie nur bei Schilder-Herstellern. Wichtig: Sie können das Schild nur mit einer Reservierungs-Bestätigung kaufen."
"Mit den neuen Nummernschildern dürfen Sie nur innerhalb des Zulassungsbezirks Köln (K) oder aus den Zulassungsbezirken Erftkreis (BM), Rhein-Sieg-Kreis (SU), Rheinisch Bergischer Kreis (GL), Leverkusen (LEV) und Kreis Neuss (NE) fahren.","Achtung: Wenn Ihr Kenn-Zeichen noch nicht zugelassen ist, dürfen Sie nur innerhalb vom Zulassungs-Bezirk Köln (K) zu uns fahren. Oder aus diesen Zulassungs-Bezirken: Erft-Kreis (BM), Rhein-Sieg-Kreis (SU), Rheinisch Bergischer Kreis (GL), Leverkusen (LEV) Kreis Mettmann (ME) und Kreis Neuss (NE)."
Die Fahrten müssen von Ihrer Kraftfahrzeug-Haftpflichtversicherung erfasst und Ihnen eine elektronische Versicherungsbestätigungs-Nummer (eVB-Nummer) zugeteilt worden sein.,Sie müssen die Fahrten ohne zugelassenes Kenn-Zeichen anmelden bei Ihrer Kraft-Fahrzeug-Haft-Pflicht-Versicherung. Von Ihrer Versicherung bekommen Sie eine Bestätigungs-Nummer. Die Abkürzung dafür ist: eVB-Nummer. Die eVB-Nummer ist wichtig.
"Diese eVB-Nummer müssen Sie anlässlich ordnungsbehördlicher Kontrollen angeben können, damit die Ordnungskräfte in der Lage sind, die Zulässigkeit der Fahrt mit den noch nicht gesiegelten Kennzeichen festzustellen.",Zum Beispiel: Wenn die Polizei Sie kontrolliert. Dann müssen Sie der Polizei die eVB-Nummer sagen. Damit die Polizei prüfen kann: Ob Sie mit dem Kenn-Zeichen ohne Stempel fahren dürfen.
Für andere Fahrten dürfen Sie diese Kennzeichen nicht benutzen!,Für andere Fahrten dürfen Sie Kenn-Zeichen ohne Stempel nicht benutzen!
"Für Ihr Kennzeichen können Sie Buchstaben und Zahlen jeder beliebigen Kombination zusammenstellen, die momentan noch frei ist.",Für Ihr Kenn-Zeichen können Sie selbst Buchstaben und Zahlen aussuchen. Wichtig: Kenn-Zeichen für Autos müssen 2 bis 6 Zeichen haben.
