original,simplified
"Die Abkürzung COPD steht für Chronic Obstructive Pulmonary Disease, übersetzt: chronisch obstruktive Lungenerkrankung.",Eine COPD ist eine Erkrankung der Atemwege. COPD ist die Abkürzung für: C hronic O bstructive P ulmonary D isease.
COPD ist nicht heilbar – aber behandelbar.,Eine COPD ist nicht heilbar. Aber Ärzte können eine COPD behandeln.
"Dort kommt es zu einer anhaltenden Entzündung, einer chronischen Bronchitis .",Bei der COPD entzünden sich die Bronchien dauerhaft.
Die Bronchien verengen sich aufgrund von Umbauprozessen dauerhaft.,Durch die Entzündung verengen sich die Bronchien.
"Deshalb vermindert sich der Atemluftstrom, was eine Atemnot verursacht.",Deshalb können betroffene Personen schlecht atmen.
Bei einem anderen greift die Krankheit zusätzlich die Lungenbläschen (siehe Grafik) an.,COPD kann die Lungenbläschen angreifen.
"Deren Aufgabe ist es, Sauerstoff aus der Atemluft ins Blut zu schleusen und das Stoffwechselprodukt Kohlendioxid in die Atemluft abzugeben.",Die Lungenbläschen versorgen das Blut mit Sauerstoff.
"Bei einer COPD zerfallen die Wände der Lungenbläschen, sie platzen sozusagen.",Bei einer COPD platzen die Wände der Lungenbläschen.
"Ein Sauerstoffmangel entsteht, obgleich die Lunge voller Luft ist.",Deshalb ist immer weniger Sauerstoff im Blut.
"Die Übergänge zwischen den beiden Hauptformen der COPD sind fließend, betont Professor Heinrich Worth, Mitverfasser der aktuellen nationalen Versorgungsleitlinie zur COPD:",Eine COPD entwickelt sich langsam.
Husten: Oft in Begleitung mit...,Die wichtigsten Anzeichen für eine COPD sind: Husten .
Auswurf Atemnot:,Auswurf . Betroffene Personen können den Schleim schwer abhusten. Atemnot . Betroffene Personen haben besonders bei Belastung Atemnot.
Tritt vor allem bei körperlichen Belastungen auf wie Sport oder Treppensteigen auf Atemgeräusche:,Belastungen können zum Beispiel Gartenarbeit oder Treppensteigen sein. Atemgeräusche .
"Ein trockenes, pfeifendes Geräusch beim Ausatmen, Giemen genannt, kann auf eine COPD hindeuten",Die Lunge betroffener Personen macht beim Ausatmen ein pfeifendes Geräusch.
Der charakteristische hartnäckige Husten tritt vor allem morgens auf.,Betroffene Personen müssen besonders morgens husten.
Rauchen ist ein wichtiger Risikofaktor.,Aber bestimmte Dinge können das Risiko für eine COPD erhöhen. Dazu gehören zum Beispiel: Rauchen . Raucher können eher an einer COPD erkranken.
Auch Passivrauchen erhöht die Gefahr.,Auch Passivrauchen erhöht das Risiko für eine COPD. Passivrauchen bedeutet: Die Person raucht nicht selbst.
Manchen Menschen fehlt genetisch bedingt Alpha-1-Antitrypsin.,Manchen Menschen fehlt ein bestimmter körpereigener Stoff.
Ein Mangel an Alpha-1-Antitrypsin verursacht folglich Schäden am Lungengerüst.,Der Stoff fehlt? Dann baut der Körper Lungengewebe ab. Diese Menschen können eher eine COPD bekommen.
Auch Umweltfaktoren wie Staubpartikel und Gase können eine COPD auslösen.,Umweltfaktoren . Bestimmte Umwelteinflüsse erhöhen das Risiko eine COPD zu bekommen. Umwelteinflüsse sind zum Beispiel Staub und bestimmte Gase.
Die Kombination aus Asthma und Rauchen begünstigt eine chronisch obstruktive Lungenerkrankung.,Asthma . Sie rauchen und haben Asthma? Dann können Sie eher eine COPD bekommen.
Medikamente gegen COPD: Verschiedene Präparate können die Beschwerden einer COPD lindern und eine Verschlechterung der Krankheit stoppen oder zumindest bremsen.,Es gibt Medikamente gegen COPD. Die Medikamente verbessern die Beschwerden der COPD. Und die Medikamente können die COPD bremsen.
"Zum Einsatz kommen hauptsächlich inhalierbare Wirkstoffe, welche die Atemwege erweitern, und eventuell schleimlösende Medikamente, die das Abhusten erleichtern.",Betroffene Personen inhalieren die Medikamente. Durch das Inhalieren weiten sich die Atemwege. Betroffene Personen können dann wieder besser atmen.
Diese Medikamente kommen bei einer COPD zum Einsatz:,Sie können die COPD zum Beispiel mit diesen Maßnahmen bremsen: Medikamente .
": Sind die Atemwege verschleimt, können die Schleimlöser das Abhusten unterstützen Bewegungstherapie bei COPD: Atem-Physiotherapie und angepasstes körperliches Training, etwa in Lungensportgruppen, steigern oder erhalten die körperliche Belastbarkeit.",Bewegung . Gehen Sie zur Physiotherapie. Dort zeigt Ihnen der Physiotherapeut bestimmte Übungen. Mit den Übungen behalten Sie Ihre Kondition.
"Weil Infekte die Krankheit verschlimmern können, sind eine Impfung gegen Pneumokokken – einem Auslöser von Lungenentzündungen – sowie eine jährliche Grippeimpfung ratsam Ernährung bei COPD:",Impfungen . Lassen Sie sich gegen Pneumokokken impfen. Pneumokokken sind Bakterien. Pneumokokken verursachen eine Lungenentzündung. Und lassen Sie sich auch gegen Grippe impfen.
Im Verlauf der Krankheit verlieren manche Patienten an Gewicht und damit an Muskelmasse.,Einige Personen nehmen während einer COPD ab. Die Personen haben dann weniger Muskeln.
"Mit einer bewussten, ausgewogenen Ernährung lässt sich gegensteuern.",Eine ausgewogene Ernährung stärkt den Körper.
Eine Ernährungsberatung gehört oft zur Therapie.,Fragen Sie ihren Arzt nach einer Ernährungsberatung.
Reha und Schulungen bei COPD:,Reha und Schulungen .
"Krankenkassen bieten spezielle Behandlungskonzepte, sogenannte Disease-Management-Programme, für Menschen mit COPD an.",Sie können eine Reha bei Ihrer Krankenkasse beantragen. Dort lernen Sie: So gehe ich mit meiner COPD um.
Der Hausarzt kann darüber informieren.,Fragen Sie Ihren Arzt nach einer Reha.
