original,simplified
In Sachsens Krankenhäusern werden wieder mehr Menschen mit einer Corona-Infektion behandelt.,In den Krankenhäusern in Sachsen sind sehr viele Menschen mit dem Corona-Virus. In den letzten Wochen haben sich sehr viele Menschen in Deutschland mit dem Corona-Virus angesteckt . Davon müssen viele Menschen in einem Krankenhaus behandelt werden:
"Michael Albrecht, medizinischer Vorstand im Uniklinikum Dresden und Krankenhauskoordinator, warnt, dass die Vorwarnstufe bereits in wenigen Tagen erreicht werden könnte.",Das wird gemacht: Wenn die Hospitalisierungs-Inzidenz bei 7 ist.
Dann drohen wieder Corona-Beschränkungen.,Dann müssen auch die Corona-Regeln strenger gemacht werden.
"Man bewege sich mit zunehmender Geschwindigkeit auf die Vorwarnstufe zu, sagte Michael Albrecht, medizinischer Vorstand im Uniklinikum Dresden und Krankenhauskoordinator MDR SACHSEN.",Michael Albrecht ist der Chef vom Universitäts-Klinikum in Dresden. Er hat gesagt: Wenn weiter so viele Corona-Patienten in die Krankenhäuser kommen:
Dann gelten laut aktueller Corona-Verordnung wieder Kontaktbeschränkungen .,Dann gibt es bald wieder strengere Corona-Regeln. Zum Beispiel: Kontakt-Beschränkungen . Dann dürfen sich die Menschen wieder nur mit sehr wenigen anderen Menschen treffen.
"Nach seinen Angaben müssen planbare Operationen bald wieder verschoben werden, wenn die Patientenzahlen in den Kliniken weiter steigen.",Das bedeutet aber: Bald können vielleicht nicht mehr alle Corona-Patienten behandelt werden. Weil die Krankenhäuser dann zu voll sind.
Eingewiesen würden derzeit vor allem Patienten im Alter zwischen 30 und 60 Jahren.,Davon sind die meisten Menschen zwischen 30 Jahre und 60 Jahre alt.
"Das sächsische Sozialministerium informiert, dass 515 Menschen mit Covid-19 in Krankenhäusern liegen (Stand 24.10.2021, 12:00 Uhr).",Im Bundes-Land Sachsen gibt es auch viele Corona-Patienten in den Krankenhäusern. Das Sozial-Ministerium in Sachsen hat gesagt: 515 Corona-Patienten sind jetzt in den Krankenhäusern.
124 von ihnen müssen intensivmedizinisch behandelt werden.,124 Menschen müssen auf der Intensiv-Station behandelt werden.
"Laut RKI-Intensivregister werden 59 Erkrankte invasiv beatmet (Stand 25.10.2021, 5:15 Uhr).",Und 59 Menschen brauchen ein Beatmungs-Gerät .
Die Sieben-Tage-Inzidenz Hospitalisierung beträgt,"In Sachsen ist die Hospitalisierungs-Inzidenz jetzt bei 3,99. An dieser Zahl können die Menschen sehen: Wie viele Menschen in ihrer Stadt oder in ihrem Bundes-Land wegen dem Corona-Virus im Krankenhaus sind."
