original,simplified
"Von einer Embolie sprechen Mediziner, wenn ein Blutgerinnsel oder sonstiger Stoff, von einem anderen Ort aus in ein Blutgefäß eingeschwemmt wird und dieses verstopft.",Ein Blutgerinnsel gelangt in ein Blutgefäß? Dann kann das Blutgefäß verstopfen. Das nennt man: Embolie. Ein Blutgerinnsel ist ein feiner Klumpen aus Blut.
"Bei einer Lungenembolie ist auf diese Weise eines der Gefäße blockiert, über die das sauerstoffarme Blut vom Herzen in die Lunge gelangt (Lungenarterie).",Bei einer Lungenembolie verschließt ein Blutgerinnsel ein Lungengefäß. Bei einer Lungenembolie können auch mehrere Blutgerinnsel mehrere Lungengefäße verstopfen.
"Die Blutgerinnsel, welche die Lungenembolie auslösen, können an verschiedenen Orten entstehen (siehe Abschnitt Ursachen).",Eine Lungenembolie entsteht durch Blutgerinnsel. Diese Blutgerinnsel verstopfen ein oder mehrere Lungengefäße.
"Meist stammen sie jedoch aus den Gefäßen, die das Blut von den Füßen zum Herz hin transportieren.",Die Blutgerinnsel fließen dann mit dem Blutstrom zum Herzen. Das Herz pumpt die Blutgerinnsel in die Lunge. Dort kann das Blutgerinnsel steckenbleiben und ein Gefäß verschließen.
Das sind die sogenannten Bein- oder Beckenvenen.,Die Blutgerinnsel können zum Beispiel aus den Beinvenen kommen. Die Blutgerinnsel können auch aus den Beckenvenen kommen.
Solche Blutgerinnsel werden als Thrombosen bezeichnet.,Der Arzt sagt dazu: Thrombose der Beinvenen. Der Arzt sagt dazu: Thrombose der Beckenvenen.
"Auch Luft, Fett, Fruchtwasser, Zellen oder Fremdkörper im Gefäßsystem können Embolien auslösen.",Auch andere Dinge können das Gefäß verstopfen. Zum Beispiel: Luft Fruchtwasser Fett Fremdkörper
Allerdings ist dies selten.,Diese Ursachen sind aber eher selten.
"Verschließt das Gerinnsel hingegen ein größeres Lungengefäß, kann dies tödlich sein.",Das ist sehr gefährlich und kann sogar lebensbedrohlich sein.
Drei Faktoren begünstigen die Entstehung von Thrombosen und damit auch von Embolien.,Drei Faktoren erhöhen die Wahrscheinlichkeit für eine Embolie:
1. Verlangsamung des Blutflusses Eine Verlangsamung des Blutflusses kann zum Beispiel durch einen Mangel an Bewegung entstehen.,Ein Patient bewegt sich nur wenig? Dann fließt auch das Blut langsamer.
"Denn die Bewegung der Muskulatur hilft den Venen dabei, das Blut entgegen der Schwerkraft in Richtung Herz zu pumpen.","Bewegung hilft den Venen dabei, das Blut zum Herzen zu pumpen."
"Bettlägerigkeit oder die Ruhigstellung einer Gliedmaße nach einer Operation, vielleicht sogar langes Sitzen mit abgewinkelten Beinen bei Flugreisen, können die Entstehung von Thrombosen begünstigen.",Manche Patienten dürfen sich nach einer Operation nicht viel bewegen. Das kann zu einem Blutgerinnsel führen. Auch eine lange Flugreise kann zu einem Blutgerinnsel führen.
2. Veränderung oder Verletzung der Innenwand des Blutgefäßes,Die Innenwand eines Blutgefäßes kann sich verändern: Zum Beispiel kann das Gefäß verletzt sein.
Veränderungen der Innenwand des Blutgefäßes treten zum Beispiel bei Gefäßverletzungen oder bei Entzündungen in der Umgebung auf.,Oder Gewebe in der Nähe kann entzündet sein.
Eine veränderte Zusammensetzung des Blutes mit erhöhter Gerinnungsneigung,Manchmal gerinnt das Blut schneller als üblich. Die Ursachen dafür können unter anderem sein: Gerinnungsstörungen
"Die Zusammensetzung des Blutes und seine Neigung zur Gerinnung verändert sich unter anderem bei Gerinnungsstörungen, bei Krebserkrankungen oder bei der Einnahme bestimmter Medikamente, wie der Anti-Baby-Pille.",Krebserkrankungen bestimmte Medikamente (zum Beispiel: Anti-Baby-Pille).
Auch in der Schwangerschaft besteht ein erhöhtes Thrombose- und damit Embolie-Risiko.,Weitere Risikofaktoren für ein Blutgerinnsel sind: Schwangerschaft
Weitere Risikofaktoren für die Entstehung einer Thrombose: • Höheres Lebensalter • Thrombose in der Vorgeschichte oder bei Familienangehörigen • Starkes Übergewicht ( Adipositas ),höheres Alter starkes Übergewicht ein früheres Blutgerinnsel
"Je größer der Lungenabschnitt ist, der durch die Embolie von der Blutversorgung abgeriegelt wird, desto schwerwiegender sind üblicherweise die Krankheitszeichen.","Es gibt verschiedene Anzeichen für eine Lungenembolie. Die Anzeichen hängen davon ab, wie groß der betroffene Lungenabschnitt ist."
• Plötzlich einsetzende Luftnot • Schmerzen beim Atmen •,Mögliche Anzeichen sind: Brustschmerzen plötzliche Luftnot Schmerzen beim Atmen blutiger Auswurf
Herzrasen,Herzrasen plötzliche Bewusstlosigkeit
Der Betroffene muss unter Umständen künstlich beatmet oder sogar wiederbelebt werden.,Bei einem Herz-Kreislauf-Stillstand muss man die Person wiederbeleben.
Es gibt für eine große Zahl von Situationen ausführliche Empfehlungen der medizinischen Fachgesellschaften.,Sie können das Risiko für eine Lungenembolie verkleinern. Dafür sollten Sie diese Dinge beachten:
"Hat Ihnen der Arzt zur Vorbeugung gerinnungshemmende Medikamente verschrieben, nehmen Sie diese wie verordnet ein.",Hat Ihnen der Arzt Medikamente zur Hemmung der Blutgerinnung verschrieben? Dann nehmen Sie die Medikamente wie besprochen ein.
Bauen Sie Übergewicht ab!,Achten Sie auf Ihr Gewicht.
Lassen Sie Erkrankungen des Herzens und des Gerinnungssystems frühzeitig behandeln!,Lassen Sie Erkrankungen des Herzens und des Gerinnungssystems frühzeitig behandeln.
Halten Sie Ihre Venen fit!,So halten Sie die Venen gesund.
Regelmäßige Bewegung hilft Ihnen dabei.,Bewegen Sie sich möglichst viel.
"Trinken Sie auf Flugreisen ausreichend und bewegen Sie Ihre Beine , indem Sie aufstehen und umhergehen oder an Ihrem Sitzplatz Übungen für die Venen absolvieren.",Trinken Sie auf Flugreisen ausreichend Wasser. Stehen Sie ab und zu auf und bewegen Sie die Beine.
