original,simplified
"Sehr geehrter Herr X, wir danken Ihnen für Ihre Kritik an unserem Kundenservice.","Hallo Herr X, Sie waren nicht zufrieden mit uns. Danke, dass Sie uns das gesagt haben."
"Umso mehr bedauern wir es, dass es uns in Ihrem Fall nicht gelungen ist, den Service zu bieten, den Sie zu Recht von uns erwarten.","Es tut uns leid, dass wir Sie enttäuscht haben. Wir finden: – Sie haben recht."
"Wir möchten uns dafür entschuldigen, dass wir in Ihrem Fall unserem Anspruch nach kompetenter Beratung und zügiger Bearbeitung ­Ihres Kundenwunsches nicht gerecht geworden sind.",– Wir haben Sie nicht gut beraten. – Wir haben Sie nicht schnell beraten.
"Auf der einen Seite ist es richtig, dass die Aufstellung der Allianz in Deutschland keine persönlichen Telefonansprechpartner mehr vorsieht.","Früher konnte der Kunde bei der Firma Allianz anrufen. Es gab einen Mitarbeiter, der immer für den Kunden da war. Heute gibt es diesen Mitarbeiter nicht mehr."
"Auf der anderen Seite sind aber mehrere Mitarbeiter einer Gruppe unabhängig voneinander in der Lage, bestimmte Vorgänge zu bearbeiten.","Heute sind viele Mitarbeiter für den Kunden da, wenn er anruft."
"Das hat den Vorteil, dass zu Zeiten, in denen außergewöhnlich viele Kunden anrufen, das Anrufvolumen besser ausgeglichen und standortunabhängig bearbeitet werden kann.",Die Firma Allianz sagt: – Das ist besser. – Jetzt können mehr Kunden gleichzeitig anrufen. – Jetzt müssen die Kunden am Telefon kürzer warten.
Zudem steht Ihnen der Telefonservice Montag bis Freitag in der Zeit von 8 bis 20 Uhr zur Verfügung.,"Jetzt können Sie anrufen, wann Sie wollen. Zwischen 8 Uhr morgens und 20 Uhr abends. Von Montag bis Freitag."
Eine Beratung bezüglich der Neuanlage Ihrer Versicherungsleistung ist für den Innendienst der Allianz nicht vorgesehen.,Aber Ihren Wunsch können wir nicht am Telefon besprechen. Ihren Wunsch müssen wir persönlich besprechen.
Dafür steht Ihnen unser umfangreiches Netzwerk unserer Allianz-Agenturen und -Vertretungen vor Ort zur Verfügung.,Dafür haben wir viele Büros in Deutschland. Da können Sie uns besuchen.
Sie können Ihre Fragen zu bestehenden Verträgen und Auskünfte unter Angabe der Vertragsnummer gern an unsere Zentralanschrift senden.,Sie können Ihren Wunsch auch mit der Post schicken. Schreiben Sie Ihre Daten in einen Brief. Und schicken Sie diesen Brief zu uns.
"(…) Es würde uns freuen, wenn unsere Erläuterungen Ihre Unklarheiten beseitigt und zu einem besseren Verständnis der Sachlage beigetragen haben.",Wir hoffen: – Sie verstehen uns jetzt besser. – Sie haben jetzt keine Fragen mehr.
