original,simplified
"Hierzu benötigen Sie vorab eine Belehrung ( § 43 Infektionsschutzgesetz, IFSG).","Das heißt: Wer mit Lebensmitteln arbeitet und die Lebensmittel bei der Arbeit berührt, der muss eine Belehrung beim Gesundheits-Amt machen. Belehrung ist ein schweres Wort für einen Kurs oder Unterricht."
In einem Kurzvortrag werden Sie von Mitarbeitenden des Gesundheitsamtes über die rechtlichen Voraussetzungen und die gesundheitlichen Risiken belehrt.,Bei der Belehrung lernen Sie: • Was Sie über Lebensmittel wissen müssen. • Wie Sie mit Lebensmitteln arbeiten müssen. Dann bekommen Sie einen Nachweis vom Gesundheits-Amt. Damit zeigen Sie: Ich habe die Belehrung beim Gesundheits-Amt gemacht.
"Nachmittagsbelehrungen nur für Gruppen/Firmen, ab einer Anzahl von mindestens 10 teilnehmenden Personen.",Wichtig: Am Nachmittag haben wir nicht geöffnet . Ausnahme: Am Nachmittag gibt es Belehrungen für Gruppen und Firmen . Das heißt: Ab 10 Personen.
Kommen Sie nur mit Terminbestätigung ins Anmeldebüro (Zimmer 35) des Gesundheitsamtes Köln.,Kommen Sie ins Anmelde-Büro vom Gesundheits-Amt.
Kalkulieren Sie eine Wartezeit ein.,Aber Sie müssen oft warten. Planen Sie bitte eine Warte-Zeit ein.
Nehmen Sie an der Belehrung teil (etwa 30 Minuten).,Die Belehrung dauert etwa 40 Minuten.
Anschließend erhalten Sie Ihre Bescheinigung.,Dann bekommen Sie den Nachweis.
Gebühren,Wie viel kostet der Nachweis?
Bescheinigung: 25 Euro - Kassenautomat: Bar- und EC-Kartenzahlung möglich.,Dafür müssen Sie 25 Euro bezahlen.
Informationen zur Schülerbelehrung/Schulpraktikum!,Belehrung für Schüler und Schülerinnen
(Nur für Kölner Schulen oder die Schüler*innen müssen in Köln gemeldet sein.),"Die Schüler-Belehrung ist für Kölner Schulen. Oder für Schüler oder Schülerinnen, • die ein Schul-Praktikum machen • und in Köln gemeldet sind."
"Anmeldeformular muss über die Schulen per Faxliste 0221 / 221-28635 ans Gesundheitsamt geschickt werden, Anmeldung muss mindestens vier Wochen vor Praktikumsbeginn erfolgen!",Die Schulen müssen vorher einen Termin machen. Das ist die Fax-Nummer: 02 21 / 22 12 86 35. Achtung: Eine Schüler-Belehrung ohne Termin ist nicht möglich.
"Nach § 43 des Infektionsschutzgesetzes benötigt jede Person, die gewerbsmäßig bestimmte Lebensmittel herstellt, behandelt oder in Verkehr bringt und dabei mit den Lebensmitteln in Berührung kommt, eine Bescheinigung des Gesundheitsamtes.","Wenn Sie mit Lebensmitteln arbeiten, brauchen Sie dafür eine Erlaubnis vom Gesundheits-Amt . Die Erlaubnis heißt: Nachweis für die Arbeit mit Lebensmitteln."
"Ferner benötigen auch Personen, die sich regelmäßig in Küchen von Gaststätten und sonstigen Einrichtungen mit oder zur Gemeinschaftsverpflegung aufhalten, eine solche Bescheinigung.",Sie brauchen auch einen Nachweis: 1. Wenn Sie regelmäßig in Küchen sind. Zum Beispiel: In Gaststätten und anderen Einrichtungen.
"Auch das Reinigungspersonal (zum Beispiel Spülpersonal) der Lebensmittelbedarfsgegenstände (etwa Töpfe, Teller) benötigt eine solche Bescheinigung.",2. Wenn Sie zum Reinigungs-Personal gehören. Zum Beispiel: Wenn Sie Teller und Töpfe spülen. Oder wenn Sie die Küche putzen.
"Die Bescheinigung nach § 43 des Infektionsschutzgesetzes ist ein Leben lang gültig unter der Voraussetzung, dass man innerhalb von 3 Monaten nach Aushändigung der Bescheinigung die Tätigkeit aufgenommen hat.",Der Nachweis ist ein Leben lang gültig : Wenn Sie in den 3 Monaten nach der Belehrung mit Ihrer Arbeit angefangen haben.
"Bescheinigung 25 Euro, Zweitschrift 15 Euro Kassenautomat: Bar- und EC-Kartenzahlung möglich!",Ein Nachweis kostet 25 Euro . Eine Kopie kostet 15 Euro . Sie können mit Bar-Geld bezahlen. Das heißt: Sie können mit Geld-Scheinen und Münzen bezahlen. Oder Sie können auch mit Ihrer EC-Karte bezahlen. Eine EC-Karte ist eine Karte aus Plastik. Die Karte haben Sie bei der Bank für Ihr Konto bekommen.
