original,simplified
Diese Corona-Regeln gelten ab 24. November in Sachsen-Anhalt.,Diese Corona-Regeln gelten jetzt in Sachsen-Anhalt.
In Sachsen-Anhalt gelten seit dem 24. November erneut neue Corona-Regeln.,Ab dem 24. November gibt es im Bundes-Land Sachsen-Anhalt neue Corona-Regeln .
Sachsen-Anhalts Landesverordnung sieht grundsätzlich das 2G-Zugangsmodell für Innenräume vor.,An diesen Orten müssen sich die Menschen an die 2-G-Regel halten Die Menschen müssen sich drinnen an die 2-G-Regel halten. Das bedeutet: Für bestimmte Sachen müssen die Menschen: • Ge-impft • oder genesen sein.
"Das deckt nahezu alle Freizeit-, Dienstleistungs- und Kultureinrichtungen ab, von B wie Busrundfahrt bis V wie Veranstaltungen.","Zum Beispiel: Im Schwimmbad, • im Museum, • in Gaststätten , • im Hotel • und in Ferien-Wohnungen ."
Für Veranstaltungen ab 50 Personen gilt die Regel ebenfalls.,Die 2-G-Regel gilt auch bei Veranstaltungen drinnen: Wo mehr als 50 Menschen mit-machen.
Trotz 2G gelten aber Maskenpflicht und Abstandsgebot.,Dort müssen die Menschen auch diese Regeln be-achten: • Die Masken-Pflicht • und die Abstands-Regeln .
"In Diskotheken, Clubs und bei Tanzveranstaltungen wird verpflichtend 2G+ eingeführt.",In Diskos • und in Clubs müssen die Menschen die 2-G-Plus-Regel be-achten. Dort müssen die Menschen dann diese Corona-Regeln nicht mehr be-achten: Die Masken-Pflicht und die Abstands-Regeln.
"Die Weihnachtsmärkte sollen weiterhin stattfinden können, müssen aber ein 3G-Konzept umsetzen, wie Gesundheitsministerin Petra Grimm-Benne (SPD) sagte.",Die Weihnachts-Märkte in Sachsen-Anhalt können gemacht werden.
Für Hütten mit Innenbereich gelten die Vorgaben für die Gastronomie und Freizeit.,Aber dort müssen sich die Menschen an die 3-G-Regel halten.
"Die Regelung gilt auch für Nagelstudios, Massage- und Fußpflegepraxen, Piercing- und Tattoo-Studios sowie für medizinisch notwendige Behandlungen durch Physiotherapeuten, Ergotherapeuten, Logopäden oder Medizinische Fußpfleger.","Und auch bei anderen Sachen ist das so. Zum Beispiel: Beim Friseur, • im Kosmetik-Studio , • im Tattoo-Studio , • bei der Kranken-Gymnastik • oder in Bussen und Bahnen."
"Wo es möglich ist, sollen Arbeitnehmer von zuhause aus arbeiten.",Aber wenn es geht: Dann sollen die Menschen zu Hause arbeiten.
"Für diejenigen, die am klassischen Arbeitsplatz tätig sind, gilt 3G. Sie müssen nachweisen, dass sie geimpft, genesen oder getestet sind.",Am Arbeits-Platz sollen sich die Menschen auch an die 3-G-Regel halten.
Trotz der extrem hohen Corona-Infektionszahlen unter Kindern und Jugendlichen bleiben die Schulen in Sachsen-Anhalt geöffnet.,Diese Regeln gibt es an den Schulen Die Schulen in Sachsen-Anhalt bleiben noch auf.
"Allerdings können Eltern ab dem 25. November ihre Kinder auf Antrag zu Hause lassen, wenn diese beispielsweise eine Vorerkrankung haben oder in einem Haushalt mit vorerkerankten Personen leben.",Die Eltern können dafür einen Antrag schreiben.
Das heißt: Die Präsenzpflicht ist an dieser Stelle aufgehoben.,Ab dem 25. November gibt es die Präsenz-Pflicht an den Schulen nicht mehr. Das bedeutet: Die Schüler und Schülerinnen müssen zum Lernen nicht mehr in die Schule kommen.
Schülerinnen und Schüler erhalten dann Aufgaben für zu Hause.,Dann bekommen die Schüler und Schülerinnen Schul-Aufgaben für zu Hause.
"Die Weihnachtsferien werden fünf Tage früher beginnen, am 17. Dezember.",Aber die Weihnachts-Ferien fangen schon 5 Tage früher an. Sie fangen am 17. Dezember an.
"Ab kommendem Montag, den 29. November, gilt eine tägliche Testpflicht an Schulen.",Ab dem 29. November müssen die Schüler und Schülerinnen jeden Tag einen Corona-Test machen.
