original,simplified
"Soweit Sie oder andere Personen in Ihrem Haushalt einen Hund halten, müssen Sie ihn innerhalb von vier Wochen nach der Aufnahme zur Hundesteuer anmelden.",Wenn Sie einen Hund haben: Dann müssen Sie Hunde-Steuer bezahlen. Es ist Ihre Pflicht: Ihren Hund anzumelden. Wenn Sie sich einen Hund anschaffen: Dann müssen Sie den Hund innerhalb von 4 Wochen anmelden .
"Wenn der Hund aus dem Wurf einer von Ihnen gehaltenen Hündin stammt, müssen sie ihn innerhalb von vier Wochen, nachdem der Hund sechs Monate alt geworden ist, zur Hundesteuer anmelden.",Wenn Ihre Hündin schwanger ist und Babys bekommt : Dann dürfen die jungen Hunde 6 Monate alt werden. Nach den 6 Monaten müssen Sie die Hunde innerhalb von 4 Wochen anmelden.
"Die An- und Abmeldepflicht gilt auch für Hunde, die nicht von natürlichen Personen oder nicht aus persönlichen Zwecken gehalten werden.",Das gilt zum Beispiel auch: wenn der Hund einem Verein gehört oder wenn es ein Wach-Hund bei einer Firma ist.
"Zur Anmeldung verwenden Sie bitte das Online-Verfahren (siehe Punkt "" Online anmelden"") oder das Anmeldeformular im "" Downloadservice "".","Sie füllen das Formular zum Anmelden aus. Das können Sie im Internet tun. Das Formular ist in Alltags-Sprache . Wenn Sie beim Ausfüllen Hilfe brauchen, fragen Sie jemanden danach."
Dieses Formular müssen Sie per Post oder Fax an das Steueramt übersenden.,Schicken Sie bitte das Formular mit der Post oder als Fax . An das Steuer-Amt .
"Auch Änderungen, wie zum Beispiel einen Umzug innerhalb Kölns oder die Übernahme eines weiteren Hundes, müssen Sie anzeigen.",Wenn sich bei Ihnen etwas ändert: Dann müssen Sie uns das schreiben. Zum Beispiel: wenn Sie umziehen oder wenn Sie noch einen Hund bekommen Wenn Ihr Hund angemeldet ist: Dann schicken wir Ihnen eine Hunde-Marke mit der Post .
"Nach Anmeldung wird eine Hundemarke übersandt, die der Hund außerhalb der Wohnung oder des umfriedeten Grundbesitzes sichtbar zu tragen hat.",Die Hunde-Marke muss der Hund draußen gut sichtbar tragen.
"Bitte beachten Sie auch die erforderliche Anmeldung des Hundes beim zuständigen Bezirksordnungsamt, sofern es sich um einen meldepflichtigen Hund nach dem Landeshundegesetz handelt.","Im Landes-Hunde-Gesetz steht: welche Hunde Sie auch beim Ordnungs-Amt anmelden müssen. Dazu gehören diese Hunde: die gefährlich sind von bestimmten Rassen zum Beispiel: Rottweiler die eine Schulter-Höhe von 40 Zentimetern haben, wenn sie ausgewachsen sind. Ausgewachsen heißt: wenn sie erwachsen sind und nicht mehr weiter wachsen."
Die Hundesteuer beträgt 156 Euro jährlich für jeden gehaltenen Hund.,Was kostet die Hunde-Steuer? Die Hunde-Steuer kostet für jeden Hund: 156 Euro für ein Jahr. Zum Beispiel: Wenn Sie 2 Hunde haben: Dann müssen Sie 2 mal 156 Euro für jedes Jahr bezahlen.
Steuerermäßigung oder -befreiung,Ermäßigung von der Hunde-Steuer
"Wenn Sie Empfänger*in von laufender Hilfe zum Lebensunterhalt oder von laufender Grundsicherung im Alter und bei Erwerbsminderung nach dem Zwölften Buch des Sozialgesetzbuches sind, können Sie für einen Hund eine Ermäßigung beantragen.",Wenn Sie laufende Hilfe zum Lebensunterhalt bekommen: Dann können Sie eine Ermäßigung beantragen. Das gilt auch: wenn Sie laufend Grund-Sicherung im Alter oder bei Erwerbs-Minderung bekommen. Das sind Hilfen nach dem 12. Buch aus dem Sozial-Gesetz-Buch.
