original,simplified
"Ein ""normaler"" Insektenstich ist hierzulande nur in Ausnahmefällen lebensbedrohlich.",In Deutschland ist ein normaler Insektenstich meist nicht gefährlich.
"Steckt der Stachel einer Biene noch in der Haut, sollte dieser entfernt werden, ohne die Giftblase zu berühren.",Der Stachel der Biene steckt noch in der Haut? Dann entfernen Sie den Stachel vorsichtig. Berühren Sie nicht die Giftblase. Die Giftblase ist oben am Stachel. In der Giftblaseist das Insektengift.
Sonst gerät noch mehr Gift in den Körper.,Sie berühren die Giftblase? Dann kann mehrInsektengift in die Wunde kommen.
"Hierfür eignet sich ein stumpfer Gegenstand, wie beispielsweise die Kante einer Kreditkarte.","Am besten schieben Sie den Stachel seitlich heraus. Benutzen Sie dafür eine stumpfe Kante, zum Beispiel einer Kreditkarte."
Damit kann der Stachel weggeschoben werden.,Streichen Sie mit der Karte über den Stich.
"Sollten Sie eine Pinzette verwenden, greifen Sie den Stachel nah an der Einstichstelle.",Hinweis: Sie möchten den Stachel mit einer Pinzette herausziehen? Dann müssen Sie sehr vorsichtig sein.
"Kühlen Sie dann die Stelle – zum Beispiel mit einem Kältepack oder Eiswürfeln, die in ein Tuch gewickelt wurden.",Kühlen Sie den Insektenstich. Wickeln Sie ein Kältepack oder Eiswürfel in ein Tuch. Legen Sie das Tuch auf den Stich. Achtung: Legen Sie Kältepacks oder Eiswürfel nicht direkt auf die Haut. Die Kälte kann der Haut schaden.
Kühlende Gele und Salben aus der Apotheke können den Juckreiz lindern.,Cremen Sie den Stich mit einem speziellen Gel oder einer speziellen Salbe ein. Die Gele und Salben lindern den Juckreiz.
Lassen Sie sich zu Auswahl und Anwendung geeigneter Präparate beraten.,Sie bekommen ein passendes Mittel gegen Insektenstiche in der Apotheke.
"Ebenfalls gegen den Juckreiz und die Schwellung wirken spezielle elektronische Geräte (Stifte), welche eine örtliche (lokale) Hitzebehandlung ermöglichen.",Auch Hitze kann bei einem Insektenstich helfen. Sie können zum Beispiel einen Hitze-Stift kaufen. Die Hitze hilft gegen den Juckreiz.
"Auch wenn Sie gleich mehrfach von Wespen, Bienen oder Hornissen gestochen wurden oder wenn Sie auf das Insektengift allergisch reagieren, brauchen Sie den Rettungsdienst.","Eine Person wurde sehr häufig von einer Wespe, einer Biene oder einer Hornisse gestochen? Dann rufen Sie sofort den Rettungsdienst. Die Nummer ist 112 . Die Person kann auf die große Menge Insektengift allergisch reagieren."
"Auf eine allergische Reaktion hindeuten können zum Beispiel Atemnot , Schwindel, Herzklopfen, starke Schwellungen oder Quaddeln auf der Haut.",Anzeichen für eine allergische Reaktion sind zum Beispiel: Atemnot Schwindel Herzklopfen starke Schwellungen Quaddeln auf der Haut. Quaddeln sind rote geschwollene Flecken auf der Haut.
Bei bekannter Insektengift-Allergie haben die Betroffenen meist bereits ein sogenanntes Notfall-Set zuhause.,Eine Person reagiert allergisch auf Insektengift? Und die Person weiß von der Allergie. Dann hat die Person vielleicht ein Notfall-Set für Allergiker bei sich.
"Steckt noch ein Stachel, sollte dieser entfernt und das Notfall-Set angewandt werden.",So versorgen Sie Allergiker mit dem Notfall-Set: Entfernen Sie zuerst den Stachel aus der Haut. Geben Sie der betroffenen Person das Medikament mit Kortison und das Antihistaminikum.
Dieses besteht aus einem Kortisonpräparat und einem Antihistaminikum sowie einer Adrenalin-Fertigspritze (Pen).,Das Notfall-Set besteht aus: Einem Medikament mit Kortison . Kortison hilft gegen Entzündungen. Einem Antihistaminikum . Antihistamin hilft gegen allergische Reaktionen. Einer Adrenalin-Fertigspritze . Die Adrenalin-Fertigspritze stabilisiert den Kreislauf.
Die Spritze wird nach Entsicherung seitlich auf den Oberschenkel aufgesetzt und ausgelöst.,Entsichern Sie die Adrenalin-Fertigspritze. Setzen Sie die Spritze seitlich auf den Oberschenkel. Lösen Sie die Spritze aus.
