original,simplified
"Sehr geehrter Herr X, ich werfe Ihnen vor, am 28.11.2015 um 23:00 Uhr in Frankfurt am Main, Kaiserstraße 76 (Kaisersack) folgende Ordnungswidrigkeit begangen zu haben:","Hallo Herr X, Sie waren am 28. November 2015 in Frankfurt. Da haben Sie was angestellt. Um 11 Uhr abends am Kaisersack."
Sie trugen einen schwarzen Kapuzenpullover mit der Aufschrift „ACAB“.,Sie hatten einen Pulli an. Auf dem Pulli stand „ACAB“.
"„ACAB“ stellt allgemein bekannt eine Abkürzung für die Parole „All Cops are Bastards“ dar und dient dazu, die Polizei in der Öffentlichkeit zu verunglimpfen.",„ACAB“ ist eine Abkürzung für einen Spruch. Der Spruch soll die Polizei beleidigen.
"Dies stellt eine grob ungehörige Handlung dar, die geeignet ist, die Allgemeinheit zu belästigen oder zu gefährden und die öffentliche Ordnung zu beeinträchtigen.",Das war sehr frech von Ihnen. Das kann Leute ärgern. Das kann gefährlich sein. Damit haben Sie gegen ein Gesetz verstoßen.
§ 118 OWiG. (…),Das Gesetz heißt „Gesetz über Ordnungs·widrigkeiten“.
"Nach § 55 des Gesetzes über Ordnungswidrigkeiten (OWiG) haben Sie Gelegenheit, zu dem Vorwurf Stellung zu nehmen.",Warum haben Sie den frechen Pulli angezogen? Das können Sie jetzt sagen.
"Es steht Ihnen frei, zur Sache auszusagen.",Aber nur wenn Sie wollen.
"Sie sind aber in jedem Fall – auch wenn Sie die Ordnungswidrigkeit nicht begangen haben – verpflichtet, unrichtige oder unvollständige Angaben zu Ihrer Person im Anhörungsbogen (…) zu berichtigen oder zu vervollständigen.",Vielleicht ist Ihr Name in diesem Brief falsch geschrieben. Dann müssen Sie das jetzt sagen.
Die Verletzung dieser Pflicht ist nach § 111 OWiG mit einer Geldbuße bedroht.,Sonst müssen Sie noch mehr Geld zahlen.
"(…) Sofern Sie sich nicht zu dem Vorwurf äußern, kann ohne weitere Anhörung ein Bußgeldbescheid gegen Sie erlassen werden.",Vielleicht sagen Sie nichts zu dem frechen Pulli. Dann kriegen Sie von mir eine Rechnung.
"Falls Sie sich äußern, werde ich aufgrund Ihrer Angaben entscheiden, ob das Verfahren eingestellt oder ohne weitere Antwort ein Bußgeldbescheid erlassen wird.",Vielleicht sagen Sie was zu dem frechen Pulli. Dann überlege ich mir das noch mal. Vielleicht kriegen Sie dann trotzdem eine Rechnung.
Mit freundlichen Grüßen (…),Liebe Grüße Frau X
